"Supplementary Table 3. Genbank accessions of Klebsiella pneumoniae. The associated Illumina reads were processed by the PathogenSurveillance pipeline for validation used in Figure 4A, B.",,,,,
Sample_ID,NCBI accession,Bioproject,Species,Kingdom,Sequence type
ERR025548,ERR025548,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025550,ERR025550,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025553,ERR025553,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025554,ERR025554,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025555,ERR025555,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025557,ERR025557,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025558,ERR025558,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025561,ERR025561,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025562,ERR025562,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025564,ERR025564,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025566,ERR025566,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025570,ERR025570,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025571,ERR025571,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025572,ERR025572,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025574,ERR025574,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025575,ERR025575,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025576,ERR025576,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025579,ERR025579,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025581,ERR025581,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025582,ERR025582,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025583,ERR025583,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025585,ERR025585,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025587,ERR025587,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025588,ERR025588,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025589,ERR025589,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025590,ERR025590,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025593,ERR025593,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025594,ERR025594,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025595,ERR025595,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
